Target_ID	cJun_2.GUERTIN	v-JUN.1_1.ZLAB	cJun_1.GUERTIN	C-JUN_2.3DFOOTPRINT	v-JUN.1_2.ZLAB	M2289_1.02.CIS-BP	MA0488.1.JASPAR	MA0489.1.JASPAR	c-Jun-CRE.HOMER	v-JUN.1_5.ZLAB	Jun-AP1.HOMER	JUN_f1.HOCOMOCO	v-JUN.1_3.ZLAB	cJun_3.GUERTIN	C-JUN_1.3DFOOTPRINT	JUN.SWISSREGULON	Jun.TF2DNA	v-JUN.1_4.ZLAB	cJun_4.GUERTIN	Average
cJun_2.GUERTIN	1.0	0.811167925502	0.167615235733	0.18577837769	0.147189400777	0.765658601803	0.765658601803	0.136690432622	0.80655952451	0.663993833541	0.144331673842	0.0791503977048	0.0547057394559	0.0281067828082	0.328586367212	0.344000071072	0.0639330486856	0.0600529739747	0.00330005400473	0.345077844355
v-JUN.1_1.ZLAB	0.753203043143	1.0	0.128318067867	0.191945361171	0.15886052719	0.779837358566	0.779837358566	0.141576216352	0.768897423619	0.614876519241	0.0924664805705	0.0911660634342	0.0395706725474	0.0126917795855	0.386171341587	0.427876995206	0.113074968477	0.0657050923359	0.00330005400473	0.344703964393
cJun_1.GUERTIN	0.153562488836	0.10701414699	1.0	0.167638151386	0.947479721001	0.105584506256	0.105584506256	1.0	0.144054488455	0.054638194025	0.939501339552	0.472046377449	0.45502724864	0.313466944484	0.0496088300808	0.0288575709692	0.085047860022	0.00330005400473	0.00330005400473	0.322932235916
C-JUN_2.3DFOOTPRINT	0.308870764151	0.320661524585	0.293740792664	1.0	0.347838052842	0.245544407982	0.245544407982	0.271571170475	0.324673708933	0.308056999999	0.269738068699	0.387185092163	0.345366734162	0.153801391482	0.47448421157	0.389666368247	0.257045629347	0.0939013282998	0.00912349861973	0.318253376432
v-JUN.1_2.ZLAB	0.169940966407	0.168806413485	0.954864958113	0.20021791733	1.0	0.149722002683	0.149722002683	0.745423413093	0.173993680208	0.0718240593668	0.694830475214	0.499767821127	0.478113685651	0.353884774108	0.0657875275559	0.0413840849774	0.107425139822	0.00747669838816	0.00330005400473	0.317709772327
M2289_1.02.CIS-BP	0.699057173321	0.790485035949	0.111891616942	0.12706748614	0.12816630314	1.0	1.0	0.100715372397	0.510183679023	0.633978192331	0.106900959722	0.0575005365743	0.0409175410872	0.0190750518268	0.254670021556	0.263884783569	0.0945423550733	0.0792077381491	0.00330005400473	0.3169233632
MA0488.1.JASPAR	0.699057173321	0.790485035949	0.111891616942	0.12706748614	0.12816630314	1.0	1.0	0.100715372397	0.510183679023	0.633978192331	0.106900959722	0.0575005365743	0.0409175410872	0.0190750518268	0.254670021556	0.263884783569	0.0945423550733	0.0792077381491	0.00330005400473	0.3169233632
MA0489.1.JASPAR	0.129717029701	0.126899866217	0.985911266527	0.158155963917	0.76822470807	0.102753963383	0.102753963383	1.0	0.094886963278	0.0442918681583	0.935959232852	0.459512291936	0.434662936724	0.299382885592	0.0467497194279	0.0277219068935	0.0536895467789	0.00330005400473	0.00330005400473	0.304098643202
c-Jun-CRE.HOMER	0.745602316972	0.750662105777	0.147282371079	0.200112014379	0.146658721374	0.504175336374	0.504175336374	0.0944914439569	1.0	0.46148076996	0.109430791596	0.0829640808938	0.0295876738105	0.00939602298752	0.337354714076	0.409513645489	0.100712095789	0.0682798041414	0.00330005400473	0.300272594686
v-JUN.1_5.ZLAB	0.63884816551	0.627978324854	0.063222872102	0.211643853683	0.0580051027848	0.634982703807	0.634982703807	0.0479321872371	0.483486169139	1.0	0.0773792306182	0.0718745578976	0.0387734809351	0.0199648229651	0.315071518771	0.345978121847	0.131144598974	0.0886194146739	0.00409751882111	0.289157123601
